Sl No.,Shutdown Reason,Date,Area/Feeder/Section Name,Time From,To Time,Shutdown Form Details,Shutdown Receiver,Shutdown Provider,Service Order No./Date,Remarks,DateTime(Time_From),DateTime(To_Time),Duration,                           
23,অবৈধ উচ্ছেদ,29-10-2019,৫ নং ফিডার,12:15,12:45,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন প্রদান করা হয়।,মনির LM-1,কামরুল,AGM,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 12:15:00,2019-10-29 12:45:00,0 days 00:30:00,
24,পুশপোল স্থাপনের জন্য,29-10-2019,,12:50,13:35,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,ওয়াদুদ,কামরুল,AGM,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 12:50:00,2019-10-29 13:35:00,0 days 00:45:00,
27,মিটার D/C remove করার জন্য,29-10-2019,৮ নং বেড়াইদের চালা ফিডার,15:15,15:30,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান LM-1,রুহুল LM-2,AGM (O&M),ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 15:15:00,2019-10-29 15:30:00,0 days 00:15:00,
30,অভিযোগ সমাধান,29-10-2019,১১ নং ফিডার,16:45,17:00,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান Lm-1,রুহুল Lm-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 16:45:00,2019-10-29 17:00:00,0 days 00:15:00,
25,তার পরিবর্তন,29-10-2019,৪ নং শিশুপল্লী ফিডার,14:20,16:00,ফিডার ট্রিপ করে ব্রেকার বের শটডাউন দেয়া হয়।,হাসান ঠিকাদার,রুহুল। LM-2,AGM,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 14:20:00,2019-10-29 16:00:00,0 days 01:40:00,
26,পুশ পোল স্থাপনের জন্য,29-10-2019,৪ নং শিশুপল্লী ফিডার,14:20,16:00,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,"ওয়াদুদ LM-1, মোসতাক LM-1",রুহুল LM-2,AGM,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 14:20:00,2019-10-29 16:00:00,0 days 01:40:00,
22,X-ফর্মার উত্তোলন ,29-10-2019,৩ নং ফিডার,11:20,12:16, ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে,ওয়াদুদ LM-1,কামরুল,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-29 11:20:00,2019-10-29 12:16:00,0 days 00:56:00,
23,অবৈধ উচ্ছেদ,29-10-2019,৫ নং ফিডার,12:15,12:45,ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে,মনির LM-1 ,কামরুল,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-29 12:15:00,2019-10-29 12:45:00,0 days 00:30:00,
24,পুশ পোল স্থাপন করার জন্য।,29-10-2019,৩ নং ফিডার,12:50,13:35,ফিডার ট্রিপ করে ব্রেকার বাহির করে,ওয়াদুদ LM-1,কামরুল,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-29 12:50:00,2019-10-29 13:35:00,0 days 00:45:00,
25,তার পরিবর্তন,29-10-2019,৪ নং শিশুপল্লী ফিডার,14:20,16:00,ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে,হাসান ঠিকাদার,রুহুল   lm-2,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-29 14:20:00,2019-10-29 16:00:00,0 days 01:40:00,
26,পুশপোল স্থাপন,29-10-2019,৪ নং শিশুপল্লী ফিডার,14:20,16:00,ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে,"ওয়াদুদ LM-1, মোশতাক LM-1",রুহুল lm-2,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-29 14:20:00,2019-10-29 16:00:00,0 days 01:40:00,
27,মিটার D/C রিমোভ করার জন্য,29-10-2019,৮ নং বেড়াইদের চালা ফিডার,15:15,15:30,ফিডার ট্রিপ করে ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান lm-1,রুহুল lm-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 15:15:00,2019-10-29 15:30:00,0 days 00:15:00,
28,ROW এর জন্য,29-10-2019,৪ নং ফিডার,16:15,16:20,ফিডার ট্রিপ করে শাটডাউন দেয়া হয়।,সেলিম Lm-1,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 16:15:00,2019-10-29 16:20:00,0 days 00:05:00,
29,অভিযোগ সমাধান,29-10-2019,৩ নং ফিডার,16:25,16:30,ফিডার ট্রিপ করে ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,ওয়াদুদ LM-1,রুহুল LM-2,JE (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 16:25:00,2019-10-29 16:30:00,0 days 00:05:00,
30, অভিযোগ সমাধান,29-10-2019,১১ নং ফিডার,16:45,17:00,ফিডার ট্রিপ করে ব্রেকার আউট করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান Lm-1,রুহুল Lm-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 16:45:00,2019-10-29 17:00:00,0 days 00:15:00,
31,N/C করন,29-10-2019,২ নং ফিডার,17:00,17:10,ফিডার ট্রিপ করে ব্রেকার আউট করে শাটডাউন দেয়া হয়।,আতাউল গনি LM-2,রুহুল LM -2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 17:00:00,2019-10-29 17:10:00,0 days 00:10:00,
32,অভিযোগ সমাধান,29-10-2019,৪ নং ফিডার,21:50,22:20,ফিডার ট্রিপ করে ব্রেকার বাহির করে,শাহ আলম LM -1,রুহুল LM-1,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-29 21:50:00,2019-10-29 22:20:00,0 days 00:30:00,
33,ROW করন ,30-10-2019,৪ নং শিশুপল্লী ফিডার,10:10,10:50,ফিডার ট্রিপ করে শাটডাউন দেয়া হয়,ওবায়দুর LT,রুহুল LM-2,AAGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-30 10:10:00,2019-10-30 10:50:00,0 days 00:40:00,
35,অভিযোগ সমাধান,30-10-2019,৫ নং ফিডার,10:50,11:35,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনির LM-1,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়। ,2019-10-30 10:50:00,2019-10-30 11:35:00,0 days 00:45:00,
34,X-former up,30-10-2019,৫ নং চৌরাস্তা ফিডার,10:50,11:35,ব্রেকার বের করে শাটডাউন নিশ্চিত করা হয়।,রফিক ঠিকাদার,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-30 10:50:00,2019-10-30 11:35:00,0 days 00:45:00,
36,অভিযোগ সমাধান,30-10-2019,২ নং ফিডার,11:50,12:00, ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,ওয়াদুদ LM -1,রুহুল LM-2,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-30 11:50:00,2019-10-30 12:00:00,0 days 00:10:00,
33,Row করন,30-10-2019,৪ নং শিশুপল্লী ফিডার,10:10,10:50,ফিডার ট্রিপ করে ব্রেকার আউট করে শাটডাউন দেয়া হয়।,ওবায়দুর LT,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-30 10:10:00,2019-10-30 10:50:00,0 days 00:40:00,
34,X-former up,30-10-2019,৫ নং চৌরাস্তা ফিডার,10:50,11:15,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,রফিক ঠিকাদার,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-30 10:50:00,2019-10-30 11:15:00,0 days 00:25:00,
37,পুশপোল স্থাপন,30-10-2019,১১। নং ফিডার,13:30,14:06,ফিডার ট্রিপ করে শাটডাউন দেয়া হয়।,মনির LM-1 নাজিম ঠিকাদার ,রুহুল LM-2,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-30 13:30:00,2019-10-30 14:06:00,0 days 00:36:00,
39,X-former  পরিবর্তন,31-10-2019,৭ নং ফিডার,10:32,11:18,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়, মোশতাক LM-1,সেলিম,JE  কামরুজ্জামান ,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-31 10:32:00,2019-10-31 11:18:00,0 days 00:46:00,
38,X-former পরিবর্তন,31-10-2019,১ নং ফিডার,10:25,11:35,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়,কামরুল LM-1, সেলিম Lm-1 ,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-31 10:25:00,2019-10-31 11:35:00,0 days 01:10:00,
41, ঠিকাদার কর্তৃক রঙ্গিলা বাজারের পশ্চিমে কাজের জন্য।,02-11-2019,৭ নং ফিডার,14:30,15:15,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,কামরুল Lm-1,শাহ আলম LM-1,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-02-11 14:30:00,2019-02-11 15:15:00,0 days 00:45:00,
40,HT জাম্পার,02-11-2019,৫নং +  ১ নং ফিডার,11:40,12:00, ফিডার ট্রিপ করে ব্রেকার বের করে দেয়া হয়।,মনিরুজ্জামান Lm-1 ,মোশতাক LM-1,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-02-11 11:40:00,2019-02-11 12:00:00,0 days 00:20:00,
43,X-former উত্তোলন,03-11-2019,৫+৮ নং ফিডার,14:40,17:50, ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান LM-1,মোশতাক LM-1,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-03-11 14:40:00,2019-03-11 17:50:00,0 days 03:10:00,
42," Row করন, X-FORMER নামানো",03-11-2019,২+৩ নং ফিডার,14:10,17:25,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,"ওবায়দুর LT, কামরুল Lm-1",মোশতাক,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-03-11 14:10:00,2019-03-11 17:25:00,0 days 03:15:00,
47,X-former উত্তোলন,05-11-2019,৫ নং ফিডার চৌরাস্তা,21:00,22:00,ব্রেকার বের করে ফিডার ট্রিপ করে দেয়া হয়।,ফারুক  LM-1 ,শামীম LM-1 ,AGM,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-05-11 21:00:00,2019-05-11 22:00:00,0 days 01:00:00,
